TestCaseName,DOB,Unit,status_code
Valid_DOB_with_unit_hour,2001-05-05,hour,200
Valid_DOB_with_unit_day,2001-05-05,day,200
Valid_DOB_with_unit_week,2001-05-05,week,200
Valid_DOB_with_unit_month,2001-05-05,month,200
Valid_DOB_with_unit_hour,2002-04-31,hour,200
Valid_DOB_with_unit_day,2002-04-31,day,200
Valid_DOB_with_unit_week,2002-04-31,week,200
Valid_DOB_with_unit_month,2002-04-31,month,200
Valid_LeapDayDOB_with_unit_hour,2000-02-29,hour,200
Valid_LeapDayDOB_with_unit_day,2000-02-29,day,200
Valid_LeapDayDOB_with_unit_week,2000-02-29,week,200
Valid_LeapDayDOB_with_unit_month,2000-02-29,month,200
Valid_LeapYearDOB_with_unit_hour,2004-04-15,hour,200
Valid_LeapYearDOB_with_unit_day,2004-04-15,day,200
Valid_LeapYearDOB_with_unit_week,2004-04-15,week,200
Valid_LeapYearDOB_with_unit_month,2004-04-15,month,200
Valid_31daysmonth_DOB_with_unit_hour,2022-07-07,hour,200
Valid_31daysmonth_DOB_with_unit_day,2022-07-07,day,200
Valid_31daysmonth_DOB_with_unit_week,2022-07-07,week,200
Valid_31daysmonth_DOB_with_unit_month,2022-07-07,month,200
InValid_DOB_empty,,hour,400
InValid_DOB_invalid_month,2021-14-07,day,400
InValid_DOB_invalid_day_for_month,2023-02-30,day,400
InValid_DOB_invalid_day,2023-03-40,day,400
InValid_DOB_invalid_year,203-03-20,day,400
InValid_DOB_future_date,2030-03-20,day,400
InValid_unit_empty,2022-07-07,,400
InValid_unit_not_in_list,2022-07-07,invalid,400
InValid_dob_unit_empty,,,400
